grid_id|epsg|zoom|x|y|data|geom
eu-grid|3035|3|60|60|"{""poblacion"": {""ue15"": 0, ""otros"": 0, ""total"": 9, ""magreb"": 0, ""america"": 0, ""edad1664"": 5, ""espanyoles"": 9}}"|0103000020DB0B000001000000050000000000000060E346410000000040773B410000000060E3464100000000C88A3B410000000024ED464100000000C88A3B410000000024ED46410000000040773B410000000060E346410000000040773B41
eu-grid|3035|3|35|56|"{""poblacion"": {""ue15"": 0, ""otros"": 0, ""total"": 30, ""magreb"": 0, ""afil_ss"": 0, ""america"": 0, ""hombres"": 9, ""mujeres"": 6, ""edad0015"": 0, ""edad1664"": 13, ""afil_ss_a"": 0, ""afil_ss_h"": 0, ""afil_ss_m"": 0, ""afil_ss_p"": 0, ""espanyoles"": 30}}"|0103000020DB0B00000100000005000000000000003CEF45410000000020293B41000000003CEF454100000000A83C3B410000000000F9454100000000A83C3B410000000000F945410000000020293B41000000003CEF45410000000020293B41
eu-grid|3035|3|36|54|"{""poblacion"": {""afil_ss"": 0, ""afil_ss_a"": 0, ""afil_ss_h"": 0, ""afil_ss_m"": 0, ""afil_ss_p"": 0}}"|0103000020DB0B000001000000050000000000000000F945410000000010023B410000000000F945410000000098153B4100000000C40246410000000098153B4100000000C40246410000000010023B410000000000F945410000000010023B41
eu-grid|3035|3|37|54|"{""poblacion"": {""ue15"": 0, ""otros"": 0, ""total"": 5, ""magreb"": 0, ""afil_ss"": 0, ""america"": 0, ""edad0015"": 0, ""afil_ss_a"": 0, ""afil_ss_h"": 0, ""afil_ss_m"": 0, ""afil_ss_p"": 0, ""espanyoles"": 5}}"|0103000020DB0B0000010000000500000000000000C40246410000000010023B4100000000C40246410000000098153B4100000000880C46410000000098153B4100000000880C46410000000010023B4100000000C40246410000000010023B41
eu-grid|3035|3|39|49|"{""poblacion"": {""otros"": 0, ""total"": 81, ""afil_ss"": 32, ""america"": 0, ""hombres"": 46, ""mujeres"": 35, ""edad1664"": 53, ""afil_ss_a"": 26, ""afil_ss_h"": 15, ""afil_ss_m"": 17, ""afil_ss_p"": 6, ""espanyoles"": 77}}"|0103000020DB0B00000100000005000000000000004C1646410000000068A03A41000000004C16464100000000F0B33A41000000001020464100000000F0B33A4100000000102046410000000068A03A41000000004C1646410000000068A03A41
eu-grid|3035|3|45|63|"{""poblacion"": {""afil_ss"": 0, ""afil_ss_a"": 0, ""afil_ss_h"": 0, ""afil_ss_m"": 0, ""afil_ss_p"": 0}}"|0103000020DB0B0000010000000500000000000000E450464100000000D8B13B4100000000E45046410000000060C53B4100000000A85A46410000000060C53B4100000000A85A464100000000D8B13B4100000000E450464100000000D8B13B41
eu-grid|3035|3|47|59|"{""poblacion"": {""afil_ss"": 0, ""afil_ss_a"": 0, ""afil_ss_h"": 0, ""afil_ss_m"": 0, ""afil_ss_p"": 0}}"|0103000020DB0B00000100000005000000000000006C64464100000000B8633B41000000006C6446410000000040773B4100000000306E46410000000040773B4100000000306E464100000000B8633B41000000006C64464100000000B8633B41
eu-grid|3035|3|39|60|"{""poblacion"": {""penc"": 0, ""penc_h"": 0, ""penc_m"": 0, ""pencinc"": 0, ""pencjub"": 0, ""pencjyv"": 0, ""pencotr"": 0, ""pencviu"": 0, ""pencinc_mi"": 0.0000000000, ""pencjub_mi"": 0.0000000000, ""pencjyv_mi"": 0.0000000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 0.0000000000}}"|0103000020DB0B00000100000005000000000000004C1646410000000040773B41000000004C16464100000000C88A3B41000000001020464100000000C88A3B4100000000102046410000000040773B41000000004C1646410000000040773B41
eu-grid|3035|3|49|58|"{""poblacion"": {""penc"": 22, ""ue15"": 0, ""otros"": 0, ""total"": 103, ""magreb"": 0, ""penc_h"": 7, ""penc_m"": 9, ""afil_ss"": 24, ""america"": 0, ""edad65_"": 16, ""hombres"": 45, ""mujeres"": 58, ""pencjub"": 7, ""pencjyv"": 0, ""edad0015"": 8, ""edad1664"": 66, ""afil_ss_a"": 8, ""afil_ss_h"": 8, ""afil_ss_m"": 8, ""afil_ss_p"": 0, ""espanyoles"": 103, ""pencjub_mi"": 760.0200000000, ""pencjyv_mi"": 0.0000000000}}"|0103000020DB0B0000010000000500000000000000F47746410000000030503B4100000000F477464100000000B8633B4100000000B881464100000000B8633B4100000000B88146410000000030503B4100000000F47746410000000030503B41
eu-grid|3035|3|32|63|"{""poblacion"": {""penc"": 0, ""penc_h"": 0, ""penc_m"": 0, ""pencinc"": 0, ""pencjub"": 0, ""pencjyv"": 0, ""pencotr"": 0, ""pencviu"": 0, ""pencinc_mi"": 0.0000000000, ""pencjub_mi"": 0.0000000000, ""pencjyv_mi"": 0.0000000000, ""pencotr_mi"": 0.0000000000, ""pencviu_mi"": 0.0000000000}}"|0103000020DB0B0000010000000500000000000000F0D1454100000000D8B13B4100000000F0D145410000000060C53B4100000000B4DB45410000000060C53B4100000000B4DB454100000000D8B13B4100000000F0D1454100000000D8B13B41
